Patch_name,Percentage_of_tissue,Mean,Std
patch_0007330.png,15.43,0.871,0.116
patch_0006902.png,62.23,0.622,0.28
patch_0003589.png,13.48,0.867,0.108
patch_0009870.png,89.18,0.547,0.195
patch_0009402.png,61.63,0.668,0.233
patch_0008242.png,37.8,0.699,0.283
patch_0004225.png,25.09,0.842,0.135
patch_0008997.png,97.94,0.472,0.226
patch_0004582.png,42.41,0.755,0.211
patch_0006111.png,20.06,0.879,0.096
patch_0007751.png,31.25,0.815,0.143
patch_0010208.png,13.58,0.866,0.13
patch_0008184.png,21.06,0.853,0.109
patch_0005004.png,24.49,0.825,0.142
patch_0009063.png,13.33,0.863,0.108
patch_0009715.png,22.67,0.823,0.193
patch_0004132.png,21.68,0.829,0.167
patch_0007780.png,53.41,0.755,0.116
patch_0007027.png,11.85,0.875,0.136
patch_0003139.png,69.41,0.576,0.268
patch_0004553.png,22.35,0.849,0.16
patch_0008534.png,34.9,0.741,0.23
patch_0006206.png,36.53,0.74,0.215
patch_0007446.png,10.01,0.865,0.081
patch_0002186.png,12.35,0.865,0.077
patch_0010426.png,11.24,0.885,0.085
patch_0002621.png,46.17,0.77,0.179
patch_0002240.png,49.66,0.728,0.204
patch_0001355.png,10.65,0.888,0.09
patch_0004879.png,28.07,0.798,0.217
patch_0000515.png,16.02,0.865,0.08
patch_0001423.png,11.61,0.879,0.086
patch_0001384.png,16.22,0.872,0.107
patch_0010096.png,12.37,0.871,0.143
patch_0002536.png,27.28,0.808,0.167
patch_0002291.png,21.12,0.847,0.128
patch_0006428.png,61.8,0.643,0.254
patch_0001042.png,36.65,0.808,0.123
patch_0000602.png,10.92,0.866,0.098
patch_0006049.png,50.03,0.719,0.225
patch_0007609.png,67.9,0.459,0.331
patch_0010350.png,10.29,0.841,0.09
patch_0000347.png,10.63,0.889,0.077
patch_0005419.png,15.03,0.865,0.11
patch_0008599.png,20.17,0.821,0.112
patch_0001975.png,24.76,0.843,0.116
patch_0010615.png,12.7,0.884,0.116
