Patch_name,Percentage_of_tissue,Mean,Std
patch_0027217.png,98.57,0.752,0.166
patch_0022549.png,99.8,0.638,0.18
patch_0051999.png,96.79,0.675,0.17
patch_0015500.png,20.1,0.896,0.068
patch_0015972.png,99.92,0.757,0.135
patch_0046715.png,81.78,0.8,0.136
patch_0019567.png,61.37,0.801,0.155
patch_0039077.png,85.71,0.849,0.103
patch_0054512.png,99.71,0.594,0.264
patch_0054960.png,43.8,0.878,0.051
patch_0058907.png,99.88,0.47,0.231
patch_0058575.png,96.62,0.797,0.12
patch_0002059.png,98.6,0.787,0.141
patch_0035010.png,68.56,0.858,0.09
patch_0018327.png,59.31,0.847,0.077
patch_0059492.png,74.45,0.766,0.18
patch_0014340.png,85.84,0.73,0.186
patch_0026457.png,100.0,0.835,0.102
patch_0055887.png,100.0,0.588,0.185
patch_0026825.png,97.61,0.701,0.196
patch_0006147.png,29.74,0.876,0.058
patch_0034650.png,88.14,0.849,0.098
patch_0059335.png,48.18,0.856,0.086
patch_0014895.png,99.67,0.634,0.167
patch_0067445.png,98.17,0.754,0.176
patch_0038637.png,34.08,0.882,0.075
patch_0029525.png,42.41,0.85,0.056
patch_0044040.png,100.0,0.334,0.2
patch_0017255.png,88.68,0.367,0.34
patch_0012979.png,78.8,0.878,0.061
patch_0048027.png,100.0,0.166,0.166
patch_0025930.png,33.8,0.847,0.157
patch_0056992.png,49.7,0.856,0.109
patch_0025542.png,92.57,0.666,0.185
patch_0068537.png,100.0,0.583,0.227
patch_0068945.png,95.01,0.795,0.161
patch_0005052.png,99.95,0.156,0.141
patch_0037745.png,44.17,0.868,0.068
patch_0029282.png,58.09,0.87,0.066
patch_0053519.png,64.49,0.866,0.065
patch_0064922.png,100.0,0.339,0.219
patch_0056247.png,100.0,0.693,0.169
patch_0048780.png,92.96,0.766,0.12
patch_0024302.png,92.69,0.875,0.072
patch_0049667.png,27.1,0.87,0.096
patch_0016867.png,100.0,0.179,0.185
patch_0016415.png,56.1,0.861,0.092
patch_0045600.png,100.0,0.487,0.222
patch_0028365.png,16.29,0.888,0.098
patch_0057875.png,100.0,0.306,0.23
patch_0057407.png,100.0,0.22,0.189
patch_0065310.png,65.54,0.858,0.087
patch_0052359.png,60.23,0.81,0.148
patch_0036105.png,98.23,0.777,0.128
patch_0004612.png,98.86,0.373,0.218
patch_0069377.png,68.06,0.832,0.125
patch_0034596.png,93.43,0.864,0.071
patch_0018746.png,97.32,0.819,0.104
patch_0026036.png,96.21,0.721,0.179
patch_0038983.png,56.38,0.858,0.096
patch_0023768.png,99.82,0.705,0.145
patch_0014721.png,80.65,0.702,0.208
patch_0067783.png,60.74,0.851,0.093
patch_0003278.png,85.02,0.849,0.096
patch_0047293.png,99.54,0.465,0.238
patch_0034231.png,71.7,0.873,0.077
patch_0055733.png,100.0,0.832,0.129
patch_0026791.png,100.0,0.597,0.151
patch_0067024.png,100.0,0.41,0.239
patch_0015161.png,41.69,0.86,0.106
patch_0027676.png,14.47,0.886,0.112
patch_0043858.png,88.14,0.783,0.173
patch_0030488.png,14.1,0.899,0.077
patch_0019106.png,55.83,0.568,0.361
patch_0046374.png,81.67,0.76,0.191
